"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"38","391.16836108634743","91.95103955697644","4.485857079146745","-0.31593779214327095","0.028000000000000025","0.017199999999999993","0.0388","1216","0.0003384793947371909","0","0.0003384793947371909","0.0003384793947371909","38_39:0.009954625007327716","38_39:533.3333333333333","true"
"39","427.5874954169615","130.57824873640456","4.574236575295852","-0.3140308325815774","0.03170000000000006","0.03380000000000005","0.0296","1216","0.00039985758903610244","0","0.00039985758903610244","0.00039985758903610244","","","true"
"40","452.984265085769","202.18842910938255","4.705520310734096","-0.31264268217270236","0.009600000000000053","0.011199999999999988","0.008","1216","0.00040944408407794737","0","0.00040944408407794737","0.00040944408407794737","40_39:0.010960623753893228","40_39:590.2222222222222","true"
"41","286.7643971626896","490.99615499948163","4.814564020849521","-0.3126369186509598","0.010800000000000032","0.01200000000000001","0.0096","1216","0.00017880410609907803","0","0.00017880410609907803","0.00017880410609907803","41_40:0.013616825286165202;41_53:0.004646442065584788","41_40:533.3333333333333;41_53:533.3333333333333","true"
"42","299.7498488430318","451.9353722723301","4.654733071608244","-0.3142873185900896","0.0403","0.0382","0.04239999999999999","1216","0.0002920574283652449","0","0.0002920574283652449","0.0002920574283652449","42_41:0.006514492297665847","42_41:533.3333333333333","true"
"43","364.3822940313318","177.3228883831541","4.7551445590507235","-0.31327741535760273","0.009600000000000053","0.010199999999999987","0.009","1216","0.0001810726139360789","0","0.0001810726139360789","0.0001810726139360789","43_44:0.0037861104675211144;43_34:0.009356605953060176;43_42:0.009451722385021732","43_44:533.3333333333333;43_34:533.3333333333333;43_42:533.3333333333333","true"
"44","138.83302254382946","282.4229818503144","4.868052170923375","-0.3104963912007421","0.0050000000000000044","0.006199999999999983","0.0038","1216","0.0001294093193189625","0","0.0001294093193189625","0.0001294093193189625","","","true"
"45","120.64236877521554","167.87204265747974","4.762850179061688","-0.3110511707571012","0.018799999999999928","0.033399999999999985","0.0042","1216","0.0004581622795546161","0","0.0004581622795546161","0.0004581622795546161","45_46:0.008371302596067637;45_44:0.01840503224586104","45_46:533.3333333333333;45_44:533.3333333333333","true"
"46","365.4628371968726","403.7101091192266","4.674088553602355","-0.31335055063587447","0.01079999999999992","0.016199999999999992","0.0054","1216","0.00012195742150817695","0","0.00012195742150817695","0.00012195742150817695","","","true"
"47","545.4556733625885","174.64698645832564","4.795122037806665","-0.31225140541662605","0.011900000000000022","0.017199999999999993","0.0066","1216","0.00010432275366775338","0","0.00010432275366775338","0.00010432275366775338","47_48:0.005543915498471497;47_46:0.003250528073549308","47_48:533.3333333333333;47_46:533.3333333333333","true"
"48","338.02323113522453","308.63735734827634","4.707253719586442","-0.31164980062742437","0.012399999999999967","0.014399999999999968","0.0104","1216","0.00013749996353567843","0","0.00013749996353567843","0.00013749996353567843","","","true"
"49","273.74704287320185","229.89099679198802","4.810804908106394","-0.31113135217025384","0.011600000000000055","0.017","0.006199999999999983","1216","0.00023593578466755085","0","0.00023593578466755085","0.00023593578466755085","49_50:0.006380894303784107;49_48:0.006060204314051132","49_50:590.2222222222222;49_48:533.3333333333333","true"
"50","295.45431289082296","156.74250683791342","4.879032982277444","-0.3096877134937021","0.0029000000000000137","0.0041999999999999815","0.0016","1216","0.00017080418299422628","0","0.00017080418299422628","0.00017080418299422628","50_51:0.005683440482495444","50_51:341.3333333333333","true"
"51","473.0820898551269","476.70332390086287","4.7673640034184155","-0.31093959212206534","0.00990000000000002","0.012399999999999967","0.0074","1216","0.00011515329455250306","0","0.00011515329455250306","0.00011515329455250306","","","true"
"52","106.62973154976902","20.010209308727","4.854888714566652","-0.30959763676674124","0.11410000000000009","0.039","0.18920000000000003","1216","0.0020668848856836963","0","0.0020668848856836963","0.0020668848856836963","52_37:0.02390547029214224","52_37:533.3333333333333","true"
"53","222.791532163331","269.50640577002736","4.7677906765679605","-0.3105625096653012","0.018100000000000005","0.023599999999999954","0.0126","1216","0.00035863098708631007","0","0.00035863098708631007","0.00035863098708631007","53_60:0.008192266115775476","53_60:533.3333333333333","true"
"54","139.54179332800368","52.535325188954985","4.821586433287452","-0.310411116462148","0.023499999999999965","0.0294","0.01759999999999995","1216","0.0003726592862310452","0","0.0003726592862310452","0.0003726592862310452","54_45:0.021127211416292674","54_45:533.3333333333333","true"
"55","195.01765519036672","342.5253788059578","4.907505551608643","-0.3099926060240599","0.011200000000000099","0.013800000000000034","0.0086","1216","0.00019769985808238495","0","0.00019769985808238495","0.00019769985808238495","55_49:0.0081303638892406","55_49:533.3333333333333","true"
"56","173.46210689523429","16.932450054168168","4.455280719207545","-0.31803803916063483","0.03333333333333344","0.050000000000000044","0.016666666666666666","1216","0.0003251664806220331","0","0.0003251664806220331","0.0003251664806220331","56_52:1;56_57:1","56_52:881.7777777777777;56_57:768","true"
"57","115.70280212249746","3.1070270104771316","4.834732632595024","-0.31001546755225406","0.10460000000000003","0.1096","0.09960000000000002","1216","0.00435019267005129","0","0.00435019267005129","0.00435019267005129","57_58:0.07278833667238371","57_58:533.3333333333333","true"
"58","288.0266086121729","148.3686997443229","4.70869927215245","-0.31366733324274093","0.013000000000000012","0.0144","0.011600000000000055","1216","0.00025134826247325324","0","0.00025134826247325324","0.00025134826247325324","","","true"
"59","216.48360943077657","349.40667569581905","4.810871384905674","-0.3102363990787504","0.03400000000000003","0.03300000000000003","0.035","1216","0.00015991204484053827","0","0.00015991204484053827","0.00015991204484053827","59_60:0.005124503687072457;59_58:0.015183429239462448","59_60:533.3333333333333;59_58:533.3333333333333","true"
"60","230.58191693221792","255.18094150491052","4.672400466174615","-0.31324002018211905","0.012399999999999967","0.0164","0.008399999999999963","1216","0.0003151800979075161","0","0.0003151800979075161","0.0003151800979075161","","","true"
"61","344.9522505090809","346.36411557732964","4.901574231418826","-0.30995863458067757","0.013299999999999979","0.0122","0.014399999999999968","1216","0.0001932463809357669","0","0.0001932463809357669","0.0001932463809357669","61_60:0.0075634637097886925;61_62:0.004861958910745923","61_60:533.3333333333333;61_62:533.3333333333333","true"
"62","250.87001853396117","270.4723315219352","4.771232643288424","-0.3109932039506031","0.015300000000000091","0.02180000000000004","0.0088","1216","0.0002251960088492813","0","0.0002251960088492813","0.0002251960088492813","","","true"
"63","219.39837128161327","124.28667809741218","4.994786719643829","-0.308453762666027","0.02190000000000003","0.023599999999999954","0.0202","1216","0.00019856901962934687","0","0.00019856901962934687","0.00019856901962934687","63_64:0.004988485214013155;63_62:0.0065248745203341785","63_64:533.3333333333333;63_62:533.3333333333333","true"
"64","240.55819637022228","165.39332313118635","4.878916946712759","-0.31051183745857736","0.09560000000000002","0.06820000000000004","0.123","1216","0.00016976423473653073","0","0.00016976423473653073","0.00016976423473653073","64_65:0.0054667716918160025;64_54:0.007597189600734716","64_65:533.3333333333333;64_54:533.3333333333333","true"
"65","317.3320671364635","232.14625027386765","4.758077417316479","-0.31051573933044047","0.018000000000000016","0.01959999999999995","0.0164","1216","0.00020615233811790924","0","0.00020615233811790924","0.00020615233811790924","","","true"
"66","232.55856084929832","217.47305743195977","4.809594109091326","-0.3109248312518322","0.045700000000000074","0.07740000000000002","0.014","1216","0.0031187024444124726","0","0.0031187024444124726","0.0031187024444124726","66_65:0.00839803302384809","66_65:533.3333333333333","true"
"67","265.2853331132043","182.16864859716995","4.892969690915572","-0.31039200176040205","0.018799999999999928","0.0232","0.014399999999999968","1216","0.00017551239150645246","0","0.00017551239150645246","0.00017551239150645246","67_66:0.004480191745128259","67_66:533.3333333333333","true"
"68","289.80109435874573","239.8023492784207","4.74128980189362","-0.31180260683390987","0.011199999999999988","0.0154","0.007000000000000006","1216","0.00017494949527643898","0","0.00017494949527643898","0.00017494949527643898","68_67:0.0069516343771452715;68_55:0.00826368958385909","68_67:533.3333333333333;68_55:533.3333333333333","true"
"69","313.2341219100536","33.58314316882341","4.8374208451313345","-0.30965408980565917","0.014700000000000046","0.007600000000000051","0.0218","1216","0.000263412474762535","0","0.000263412474762535","0.000263412474762535","69_68:0.005372002434475803;69_70:0.018005566682528368","69_68:533.3333333333333;69_70:533.3333333333333","true"
"70","308.26139898275835","504.7566450240251","4.708544814617813","-0.31145025923177105","0.10119999999999996","0.15000000000000002","0.0524","1216","0.0033466488188936593","0","0.0033466488188936593","0.0033466488188936593","","","true"
"71","411.7436191729915","171.6562468716926","4.846313807709312","-0.3101101834347441","0.2429","0.24119999999999997","0.2446","1216","0.0003741544540127514","0","0.0003741544540127514","0.0003741544540127514","71_58:0.01567170017176936;71_77:0.004525232519378503","71_58:533.3333333333333;71_77:533.3333333333333","true"
"72","243.5224219247628","305.4322969678345","4.874541244156005","-0.30919743263741656","0.0947","0.10340000000000005","0.086","1216","0.00015353793692595864","0","0.00015353793692595864","0.00015353793692595864","72_62:0.005018738016690949","72_62:533.3333333333333","true"
"73","311.8380295411956","106.06524605510081","4.874791310782618","-0.3102390852422053","0.005400000000000071","0.0048000000000000265","0.006","1216","0.00029892308536669433","0","0.00029892308536669433","0.00029892308536669433","73_66:0.010626545496943501;73_85:0.005724371853877086","73_66:533.3333333333333;73_85:533.3333333333333","true"
"74","165.8550719037484","202.72262141466126","4.814364844376075","-0.31129790243600725","0.0049000000000000155","0.007199999999999984","0.0026","1216","0.0002438760908389542","0","0.0002438760908389542","0.0002438760908389542","74_70:0.027041510805489694","74_70:533.3333333333333","true"
"75","238.19442562988777","264.1206023463016","4.768980178915828","-0.31042690020941655","0.044499999999999984","0.0494","0.03959999999999997","1216","0.0003643847545107667","0","0.0003643847545107667","0.0003643847545107667","75_76:0.007998653828334312","75_76:533.3333333333333","true"
"76","287.2739410640326","119.99357378621191","4.702014158307308","-0.31291705661427394","0.017900000000000027","0.01859999999999995","0.0172","1216","0.00015232668762989","0","0.00015232668762989","0.00015232668762989","","","true"
"77","325.25810696109414","199.13484180167794","4.806555827473171","-0.3107912307043456","0.01980000000000004","0.02200000000000002","0.0176","1216","0.00015330559131321655","0","0.00015330559131321655","0.00015330559131321655","77_76:0.005988956182355898","77_76:533.3333333333333","true"
"78","241.6573415097111","380.94522213830095","4.861119185862543","-0.30955241234604897","0.016699999999999937","0.022","0.011399999999999966","1216","0.00017051584762564772","0","0.00017051584762564772","0.00017051584762564772","78_77:0.005314660343732819;78_79:0.00730370107679304","78_77:533.3333333333333;78_79:533.3333333333333","true"
"79","267.0274034434527","28.027362567437134","4.786049106448157","-0.31151163662354525","0.00649999999999995","0.008000000000000007","0.005","1216","0.0001976591894273366","0","0.0001976591894273366","0.0001976591894273366","79_91:0.01053808612592047","79_91:533.3333333333333","true"
"80","46.93662968837403","112.28356505866309","5.042749015532641","-0.3079238440194016","0.011600000000000055","0.013","0.010199999999999987","1216","0.000374448930290228","0","0.000374448930290228","0.000374448930290228","80_79:0.007423306008018243;80_81:0.010900262352577822","80_79:533.3333333333333;80_81:533.3333333333333","true"
"81","191.6631308515509","136.496809805666","4.961382372136232","-0.30881300331410194","0.0038000000000000256","0.0041999999999999815","0.0034","1216","0.00018325973053317325","0","0.00018325973053317325","0.00018325973053317325","81_82:0.021962364847692734;81_72:0.0065117754244986","81_82:533.3333333333333;81_72:533.3333333333333","true"
"82","257.4427772386418","175.06748739464732","4.815062928952966","-0.31103172317325406","0.0049000000000000155","0.008000000000000007","0.0018","1216","0.0003414326005400992","0","0.0003414326005400992","0.0003414326005400992","82_83:0.007384945764310452","82_83:533.3333333333333","true"
"83","222.0478678979655","89.61771989036922","4.721440939429672","-0.2975486698247847","0.31899999999999995","0.3228","0.3152","1216","0.00021088415506978126","0","0.00021088415506978126","0.00021088415506978126","","","true"
"84","352.13712871907575","262.9694954645428","4.666014178281295","-0.3133527023161981","0.011500000000000066","0.014000000000000012","0.009","1216","0.0009642054936156901","0","0.0009642054936156901","0.0009642054936156901","84_83:0.009719983496771362","84_83:448","true"
"85","320.44552896664123","138.6341294258231","4.745281583223244","-0.3119683812702387","0.03160000000000007","0.0328","0.030399999999999983","1216","0.00015868158545604783","0","0.00015868158545604783","0.00015868158545604783","85_84:0.00970867965722852","85_84:533.3333333333333","true"
"86","227.73145788913556","210.3014414217303","4.8898848316794234","-0.30913746648321616","0.00649999999999995","0.006800000000000028","0.0062","1216","0.0001645145167502727","0","0.0001645145167502727","0.0001645145167502727","86_85:0.008165966374795747;86_87:0.006299523079549202","86_85:533.3333333333333;86_87:533.3333333333333","true"
"87","245.05667869329253","206.36359516268593","4.8244285035431655","-0.3099624961358293","0.007900000000000018","0.00880000000000003","0.007","1216","0.00020193876912530086","0","0.00020193876912530086","0.00020193876912530086","87_88:0.00901156991400015","87_88:533.3333333333333","true"
"88","127.68366141048956","108.27383914495957","4.689545562207001","-0.3191806929563948","0.0052000000000000934","0.00880000000000003","0.0016","1216","0.00018590807040574174","0","0.00018590807040574174","0.00018590807040574174","","","true"
"89","68.92885248671763","95.7338418133353","4.9479295036997915","-0.30883270351675324","0.01319999999999999","0.0138","0.012599999999999945","1216","0.0003791966968441219","0","0.0003791966968441219","0.0003791966968441219","89_88:0.010126148618435887;89_74:0.010539844172589935","89_88:533.3333333333333;89_74:533.3333333333333","true"
"90","258.37631657731566","175.0913300926934","4.803087657652578","-0.3102348928876509","0.008399999999999963","0.010600000000000054","0.0062","1216","0.000434335399847403","0","0.000434335399847403","0.000434335399847403","90_94:0.0070614957158653124;90_75:0.014582898230094565","90_94:533.3333333333333;90_75:533.3333333333333","true"
"91","109.32603955891537","163.84484262128623","4.893162358748021","-0.30983443429771806","0.0026999999999999247","0.0041999999999999815","0.0012","1216","0.00012827045041719182","0","0.00012827045041719182","0.00012827045041719182","","","true"
"92","337.5221013145823","221.33220650068264","4.827691241886364","-0.3103693565337272","0.013000000000000012","0.009800000000000031","0.0162","1216","0.0001689963888862547","0","0.0001689963888862547","0.0001689963888862547","92_83:0.006318238727743397;92_102:0.006951864560865051","92_83:533.3333333333333;92_102:533.3333333333333","true"
"93","233.40624190210428","32.36887746292649","4.910445215886609","-0.30921828977226556","0.007199999999999984","0.008199999999999985","0.0062","1216","0.00023166494687711342","0","0.00023166494687711342","0.00023166494687711342","93_87:0.007198084287183687;93_106:0.004863822217657188","93_87:533.3333333333333;93_106:533.3333333333333","true"
"94","380.8517992943608","344.9991074888639","4.719670655343433","-0.3121150063159316","0.009400000000000075","0.0132","0.005600000000000049","1216","0.00012110262589163663","0","0.00012110262589163663","0.00012110262589163663","","","true"
"95","255.237453812262","182.24078706016664","4.802277236916985","-0.3113439855731095","0.008599999999999941","0.0088","0.008399999999999963","1216","0.0005334411746552362","0","0.0005334411746552362","0.0005334411746552362","95_94:0.004677989483766742;95_96:0.008997905861576977","95_94:533.3333333333333;95_96:533.3333333333333","true"
"96","176.5184410218869","125.34557414074519","4.852635592076891","-0.3071950533738793","0.018100000000000005","0.017","0.019199999999999995","1216","0.00032128867699074165","0","0.00032128867699074165","0.00032128867699074165","","","true"
"97","215.97379731191273","255.90184043977982","4.950011325138507","-0.3087084614989645","0.014100000000000001","0.016199999999999992","0.012","1216","0.00016663747011025202","0","0.00016663747011025202","0.00016663747011025202","97_98:0.00477830418621808;97_96:0.006839129201148736","97_98:533.3333333333333;97_96:533.3333333333333","true"
"98","353.23319297952355","241.66027299810537","4.774665436990169","-0.31129479497146767","0.020399999999999974","0.01759999999999995","0.0232","1216","0.00016790192981581113","0","0.00016790192981581113","0.00016790192981581113","98_91:0.006034994104298447","98_91:533.3333333333333","true"
"99","325.8270804521787","234.43783887625943","4.832440718580444","-0.3102128571403012","0.012900000000000023","0.01200000000000001","0.0138","1216","0.00017660554033893276","0","0.00017660554033893276","0.00017660554033893276","99_98:0.006689605285887967;99_100:0.0070982428322410585","99_98:533.3333333333333;99_100:533.3333333333333","true"
"100","285.5193519664282","335.9628182163381","4.648612123666714","-0.31432473968171126","0.008199999999999985","0.011600000000000055","0.0048","1216","0.0001710055558452895","0","0.0001710055558452895","0.0001710055558452895","","","true"
"101","266.1186273501449","55.09564339724282","4.844082926458999","-0.31062354929050423","0.02400000000000002","0.04479999999999995","0.0032","1216","0.002286705040294994","0","0.002286705040294994","0.002286705040294994","101_102:0.018773154029258443;101_100:0.015069867270168347","101_102:533.3333333333333;101_100:533.3333333333333","true"
"102","154.8977435729408","137.56981649447047","4.78666725452412","-0.31093198650261733","0.0514","0.056","0.04679999999999995","1216","0.0003381681074932644","0","0.0003381681074932644","0.0003381681074932644","102_103:0.0063259253115151015","102_103:533.3333333333333","true"
"103","353.3389115277969","244.75054385220722","4.6946717480719125","-0.31225904514446806","0.006899999999999906","0.009399999999999964","0.0044","1216","0.00024854916126967116","0","0.00024854916126967116","0.00024854916126967116","","","true"
"104","194.440498132403","131.16864638166066","4.783874363990235","-0.3122310065044028","0.0050000000000000044","0.0074","0.0026000000000000467","1216","0.00035041218265723393","0","0.00035041218265723393","0.00035041218265723393","104_103:0.004862473182909055","104_103:533.3333333333333","true"
"105","120.90516662346892","26.84126699610151","4.883438622257691","-0.30991690927064675","0.015800000000000036","0.024399999999999977","0.0072","1216","0.0003723390032960485","0","0.0003723390032960485","0.0003723390032960485","105_104:0.008252642380640718","105_104:533.3333333333333","true"
"106","286.8939834993123","275.1981801137249","4.774769354835833","-0.31270542930455303","0.00990000000000002","0.0118","0.008000000000000007","1216","0.00018120728529865687","0","0.00018120728529865687","0.00018120728529865687","106_105:0.005447348591826606","106_105:533.3333333333333","true"
